Date,Day,Corps,GE,Visual,Music
6/30/2018,10,Pioneer,19.7,15.7,15.95
6/30/2018,10,Colt Cadets,20.1,13.75,14.75
7/1/2018,11,Santa Clara Vanguard,31,24,23.8
7/1/2018,11,Blue Devils,30.6,23.75,23.7
7/1/2018,11,Blue Knights,28.8,20.95,22.45
7/1/2018,11,Mandarins,27.8,21.5,21.45
7/1/2018,11,The Academy,26.5,20.7,21.1
7/1/2018,11,Troopers,26,19.65,19.9
7/1/2018,11,Pacific Crest,25.1,19.45,19.75
7/1/2018,11,Gold,22.6,17.55,17.6
7/1/2018,11,Golden Empire,20.8,16.6,16.15
7/1/2018,11,Vessel,19.4,15.55,15.45
7/1/2018,11,Watchmen,18.3,15.5,15.2
7/1/2018,11,Impulse,18.8,14.8,15.05
7/1/2018,11,Incognito,16.9,12.65,13.3
7/1/2018,11,The Cavaliers,30.5,22.95,22.35
7/1/2018,11,Phantom Regiment,29.1,21.5,21.3
7/1/2018,11,Crossmen,28.3,21.3,20.45
7/1/2018,11,Blue Stars,28.2,21.25,20.5
7/1/2018,11,Madison Scouts,27,19.55,19.55
7/1/2018,11,Colts,26.2,19.7,19.2
7/1/2018,11,Genesis,24.1,17.75,18.1
7/1/2018,11,River City Rhythm,18,13.2,16.1
7/1/2018,11,Bluecoats,31.8,23.5,23.75
7/1/2018,11,Carolina Crown,31.2,22.75,24
7/1/2018,11,Boston Crusaders,30.8,22.8,23.25
7/1/2018,11,The Cadets,29.4,21.75,22.65
7/1/2018,11,Spirit of Atlanta,27.4,20.6,20.8
7/1/2018,11,Spartans,23.3,17.95,16.75
7/1/2018,11,7th Regiment,21.4,16.3,16.1
7/2/2018,12,Blue Stars,28.4,21.45,21.2
7/2/2018,12,Colts,27.4,20,20
7/2/2018,12,Genesis,24.3,18.15,18.8
7/2/2018,12,River City Rhythm,21.1,14.4,15.7
7/2/2018,12,Colt Cadets,20.7,14.5,15.4
7/2/2018,12,Blue Devils,31.5,23.3,23.9
7/2/2018,12,Mandarins,29.1,21.4,21.85
7/2/2018,12,The Academy,28,20.55,21.45
7/2/2018,12,Troopers,26.4,19.6,20.55
7/2/2018,12,Watchmen,20.2,14.9,15.15
7/2/2018,12,Bluecoats,32.1,24.1,24.2
7/2/2018,12,Carolina Crown,31.6,22.95,24.4
7/2/2018,12,Boston Crusaders,31.1,23.1,23.5
7/2/2018,12,The Cadets,30.4,22.3,23.3
7/2/2018,12,Spirit of Atlanta,28.2,20.55,20.65
7/2/2018,12,Spartans,22.6,17.5,17.5
7/2/2018,12,7th Regiment,21.2,15.65,16.35
7/3/2018,13,Bluecoats,32.4,24.6,24.075
7/3/2018,13,Boston Crusaders,31.5,23.55,24.075
7/3/2018,13,The Cadets,30.5,22.65,23.625
7/3/2018,13,Spirit of Atlanta,26.9,21,21.675
